id	study_ref	age_range	cohort_N	task	task_domain_ic_wm_cf	acc	latency	pathology	data_type
0	"Davidson et al, 2006"	[4.43]	30	Spatial Incompatibility Pictures Test (Extended Delay)	"[2, 2, 0]"	91.67			raw
1	"Davidson et al, 2006"	[5.19]	30	Spatial Incompatibility Pictures Test (Extended Delay)	"[2, 2, 0]"	87.59			raw
2	"Davidson et al, 2006"	[6.01]	30	Spatial Incompatibility Pictures Test (Extended Delay)	"[2, 2, 0]"	93.92			raw
3	"Davidson et al, 2006"	[6.22]	30	Spatial Incompatibility Pictures Test	"[2, 2, 0]"	88.07			raw
4	"Davidson et al, 2006"	[7.12]	30	Spatial Incompatibility Pictures Test	"[2, 2, 0]"	85.26			raw
5	"Davidson et al, 2006"	[7.97]	30	Spatial Incompatibility Pictures Test	"[2, 2, 0]"	88.03			raw
6	"Davidson et al, 2006"	[9.07]	30	Spatial Incompatibility Pictures Test	"[2, 2, 0]"	86.14			raw
7	"Davidson et al, 2006"	[9.92]	30	Spatial Incompatibility Pictures Test	"[2, 2, 0]"	91.45			raw
8	"Davidson et al, 2006"	[11.01]	28	Spatial Incompatibility Pictures Test	"[2, 2, 0]"	91.08			raw
9	"Davidson et al, 2006"	[12.89]	26	Spatial Incompatibility Pictures Test	"[2, 2, 0]"	92.25			raw
10	"Davidson et al, 2006"	[26.30]	20	Spatial Incompatibility Pictures Test	"[2, 2, 0]"	100			raw
11	"Davidson et al, 2006"	[4.43]	30	Spatial Incompatibility Arrows Test (Extended Delay)	"[3, 1, 0]"	83.36			raw
12	"Davidson et al, 2006"	[5.19]	30	Spatial Incompatibility Arrows Test (Extended Delay)	"[3, 1, 0]"	79.11			raw
13	"Davidson et al, 2006"	[6.01]	30	Spatial Incompatibility Arrows Test (Extended Delay)	"[3, 1, 0]"	90.22			raw
14	"Davidson et al, 2006"	[6.22]	30	Spatial Incompatibility Arrows Test	"[3, 1, 0]"	77.87			raw
15	"Davidson et al, 2006"	[7.12]	30	Spatial Incompatibility Arrows Test	"[3, 1, 0]"	73.67			raw
16	"Davidson et al, 2006"	[7.97]	30	Spatial Incompatibility Arrows Test	"[3, 1, 0]"	77.97			raw
17	"Davidson et al, 2006"	[9.07]	30	Spatial Incompatibility Arrows Test	"[3, 1, 0]"	80.22			raw
18	"Davidson et al, 2006"	[9.92]	30	Spatial Incompatibility Arrows Test	"[3, 1, 0]"	78.38			raw
19	"Davidson et al, 2006"	[11.01]	28	Spatial Incompatibility Arrows Test	"[3, 1, 0]"	84.63			raw
20	"Davidson et al, 2006"	[12.89]	26	Spatial Incompatibility Arrows Test	"[3, 1, 0]"	88.19			raw
21	"Davidson et al, 2006"	[26.30]	20	Spatial Incompatibility Arrows Test	"[3, 1, 0]"	95.19			raw
22	"Davidson et al, 2006"	[4.43]	30	Dots-congruent Test (Extended Delay)	"[1, 1, 0]"	96.33			raw
23	"Davidson et al, 2006"	[5.19]	30	Dots-congruent Test (Extended Delay)	"[1, 1, 0]"	94.96			raw
24	"Davidson et al, 2006"	[6.01]	30	Dots-congruent Test (Extended Delay)	"[1, 1, 0]"	98.61			raw
25	"Davidson et al, 2006"	[6.22]	30	Dots-congruent Test	"[1, 1, 0]"	96			raw
26	"Davidson et al, 2006"	[7.12]	30	Dots-congruent Test	"[1, 1, 0]"	96.86			raw
27	"Davidson et al, 2006"	[7.97]	30	Dots-congruent Test	"[1, 1, 0]"	99.65			raw
28	"Davidson et al, 2006"	[9.07]	30	Dots-congruent Test	"[1, 1, 0]"	99.3			raw
29	"Davidson et al, 2006"	[9.92]	30	Dots-congruent Test	"[1, 1, 0]"	99.67			raw
30	"Davidson et al, 2006"	[11.01]	28	Dots-congruent Test	"[1, 1, 0]"	99.62			raw
31	"Davidson et al, 2006"	[12.89]	26	Dots-congruent Test	"[1, 1, 0]"	99.55			raw
32	"Davidson et al, 2006"	[26.30]	20	Dots-congruent Test	"[1, 1, 0]"	98.5			raw
33	"Davidson et al, 2006"	[4.43]	30	Dots-incongruent Test (Extended Delay)	"[2, 2, 0]"	86.93			raw
34	"Davidson et al, 2006"	[5.19]	30	Dots-incongruent Test (Extended Delay)	"[2, 2, 0]"	86.12			raw
35	"Davidson et al, 2006"	[6.01]	30	Dots-incongruent Test (Extended Delay)	"[2, 2, 0]"	92.62			raw
36	"Davidson et al, 2006"	[6.22]	30	Dots-incongruent Test	"[2, 2, 0]"	88.05			raw
37	"Davidson et al, 2006"	[7.12]	30	Dots-incongruent Test	"[2, 2, 0]"	88.77			raw
38	"Davidson et al, 2006"	[7.97]	30	Dots-incongruent Test	"[2, 2, 0]"	90.46			raw
39	"Davidson et al, 2006"	[9.07]	30	Dots-incongruent Test	"[2, 2, 0]"	89.51			raw
40	"Davidson et al, 2006"	[9.92]	30	Dots-incongruent Test	"[2, 2, 0]"	93.83			raw
41	"Davidson et al, 2006"	[11.01]	28	Dots-incongruent Test	"[2, 2, 0]"	96.38			raw
42	"Davidson et al, 2006"	[12.89]	26	Dots-incongruent Test	"[2, 2, 0]"	95.02			raw
43	"Davidson et al, 2006"	[26.30]	20	Dots-incongruent Test	"[2, 2, 0]"	89.73			raw
44	"Davidson et al, 2006"	[4.43]	30	Dots-mixed Test (Extended Delay)	"[3, 2, 3]"	68.57			raw
45	"Davidson et al, 2006"	[5.19]	30	Dots-mixed Test (Extended Delay)	"[3, 2, 3]"	68.03			raw
46	"Davidson et al, 2006"	[6.01]	30	Dots-mixed Test (Extended Delay)	"[3, 2, 3]"	77.37			raw
47	"Davidson et al, 2006"	[6.22]	30	Dots-mixed Test	"[3, 2, 3]"	71.24			raw
48	"Davidson et al, 2006"	[7.12]	30	Dots-mixed Test	"[3, 2, 3]"	71.97			raw
49	"Davidson et al, 2006"	[7.97]	30	Dots-mixed Test	"[3, 2, 3]"	73.7			raw
50	"Davidson et al, 2006"	[9.07]	30	Dots-mixed Test	"[3, 2, 3]"	74.94			raw
51	"Davidson et al, 2006"	[9.92]	30	Dots-mixed Test	"[3, 2, 3]"	76.96			raw
52	"Davidson et al, 2006"	[11.01]	28	Dots-mixed Test	"[3, 2, 3]"	81.71			raw
53	"Davidson et al, 2006"	[12.89]	26	Dots-mixed Test	"[3, 2, 3]"	85.81			raw
54	"Davidson et al, 2006"	[26.30]	20	Dots-mixed Test	"[3, 2, 3]"	96.22			raw
55	"Davidson et al, 2006"	[4.43]	30	"Abstract Shapes Test (2 Shapes, Extended Delay)"	"[1, 2.5, 0]"	88.95			raw
56	"Davidson et al, 2006"	[5.19]	30	"Abstract Shapes Test (2 Shapes, Extended Delay)"	"[1, 2.5, 0]"	88.96			raw
57	"Davidson et al, 2006"	[6.01]	30	"Abstract Shapes Test (2 Shapes, Extended Delay)"	"[1, 2.5, 0]"	90.34			raw
58	"Davidson et al, 2006"	[6.22]	30	Abstract Shapes Test (2 shapes)	"[1, 2.5, 0]"	87.69			raw
59	"Davidson et al, 2006"	[7.12]	30	Abstract Shapes Test (2 shapes)	"[1, 2.5, 0]"	84.82			raw
60	"Davidson et al, 2006"	[7.97]	30	Abstract Shapes Test (2 shapes)	"[1, 2.5, 0]"	88			raw
61	"Davidson et al, 2006"	[9.07]	30	Abstract Shapes Test (2 shapes)	"[1, 2.5, 0]"	87.38			raw
62	"Davidson et al, 2006"	[9.92]	30	Abstract Shapes Test (2 shapes)	"[1, 2.5, 0]"	88.65			raw
63	"Davidson et al, 2006"	[11.01]	28	Abstract Shapes Test (2 shapes)	"[1, 2.5, 0]"	89.91			raw
64	"Davidson et al, 2006"	[12.89]	26	Abstract Shapes Test (2 shapes)	"[1, 2.5, 0]"	94.95			raw
65	"Davidson et al, 2006"	[26.30]	20	Abstract Shapes Test (2 shapes)	"[1, 2.5, 0]"	96.8			raw
66	"Davidson et al, 2006"	[4.43]	30	"Abstract Shapes Test (6 Shapes, Extended Delay)"	"[1, 2.5, 0]"	76.87			raw
67	"Davidson et al, 2006"	[5.19]	30	"Abstract Shapes Test (6 Shapes, Extended Delay)"	"[1, 2.5, 0]"	77.16			raw
68	"Davidson et al, 2006"	[6.01]	30	"Abstract Shapes Test (6 Shapes, Extended Delay)"	"[1, 2.5, 0]"	87.39			raw
69	"Davidson et al, 2006"	[6.22]	30	Abstract Shapes Test (6 shapes)	"[1, 2.5, 0]"	73.29			raw
70	"Davidson et al, 2006"	[7.12]	30	Abstract Shapes Test (6 shapes)	"[1, 2.5, 0]"	72.6			raw
71	"Davidson et al, 2006"	[7.97]	30	Abstract Shapes Test (6 shapes)	"[1, 2.5, 0]"	73.97			raw
72	"Davidson et al, 2006"	[9.07]	30	Abstract Shapes Test (6 shapes)	"[1, 2.5, 0]"	81.34			raw
73	"Davidson et al, 2006"	[9.92]	30	Abstract Shapes Test (6 shapes)	"[1, 2.5, 0]"	78.42			raw
74	"Davidson et al, 2006"	[11.01]	28	Abstract Shapes Test (6 shapes)	"[1, 2.5, 0]"	79.16			raw
75	"Davidson et al, 2006"	[12.89]	26	Abstract Shapes Test (6 shapes)	"[1, 2.5, 0]"	86.46			raw
76	"Davidson et al, 2006"	[26.30]	20	Abstract Shapes Test (6 shapes)	"[1, 2.5, 0]"	89.92			raw
77	"Diamond, 1990"	"[0.5, 0.56]"	20	Standard Delayed Nonmatching to Sample Task (10s)	"[0, 1, 0]"	85			raw
78	"Diamond, 1990"	"[0.75, 0.83]"	20	Standard Delayed Nonmatching to Sample Task (10s)	"[0, 1, 0]"	85			raw
79	"Diamond, 1990"	"[1, 1.06]"	20	Standard Delayed Nonmatching to Sample Task (10s)	"[0, 1, 0]"	90			raw
80	"Diamond, 1990"	"[0.5, 0.56]"	20	Standard Delayed Nonmatching to Sample Task (60s)	"[0, 2, 0]"	70			raw
81	"Diamond, 1990"	"[0.75, 0.83]"	20	Standard Delayed Nonmatching to Sample Task (60s)	"[0, 2, 0]"	90			raw
82	"Diamond, 1990"	"[1, 1.06]"	20	Standard Delayed Nonmatching to Sample Task (60s)	"[0, 2, 0]"	85			raw
83	"Diamond, 1990"	"[0.5, 0.56]"	20	Standard Delayed Nonmatching to Sample Task (600s)	"[0, 3, 0]"	70			raw
84	"Diamond, 1990"	"[0.75, 0.83]"	20	Standard Delayed Nonmatching to Sample Task (600s)	"[0, 3, 0]"	80			raw
85	"Diamond, 1990"	"[1, 1.06]"	20	Standard Delayed Nonmatching to Sample Task (600s)	"[0, 3, 0]"	85			raw
86	"Diamond, 1990"	"[0.33, 0.4]"	20	Standard Visual Paired Comparison Task (10s)	"[0, 1, 0]"	70			raw
87	"Diamond, 1990"	"[0.48, 0.56]"	20	Standard Visual Paired Comparison Task (10s)	"[0, 1, 0]"	90			raw
88	"Diamond, 1990"	"[0.75, 0.81]"	20	Standard Visual Paired Comparison Task (10s)	"[0, 1, 0]"	80			raw
89	"Diamond, 1990"	"[0.33, 0.4]"	20	Standard Visual Paired Comparison Task (60s)	"[0, 2, 0]"	60			raw
90	"Diamond, 1990"	"[0.48, 0.56]"	20	Standard Visual Paired Comparison Task (60s)	"[0, 2, 0]"	75			raw
91	"Diamond, 1990"	"[0.75, 0.81]"	20	Standard Visual Paired Comparison Task (60s)	"[0, 2, 0]"	80			raw
92	"Diamond, 1990"	"[0.33, 0.4]"	20	Standard Visual Paired Comparison Task (600s)	"[0, 3, 0]"	50			raw
93	"Diamond, 1990"	"[0.48, 0.56]"	20	Standard Visual Paired Comparison Task (600s)	"[0, 3, 0]"	60			raw
94	"Diamond, 1990"	"[0.75, 0.81]"	20	Standard Visual Paired Comparison Task (600s)	"[0, 3, 0]"	70			raw
95	"Cowan et al, 2011"	"[6.3, 9]"	30	Sequential Array Visual Match (Attendant)	"[0, 2, 0]"	70			raw
